HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
OH-503,0.166,0.182,0.097,0.098,0.089,0.12,0.163
OH-504,0.234,0.2,0.21,0.18,0.176,0.179,0.118
OH-505,0.245,0.219,0.249,0.248,0.243,0.192,0.22
OH-506,0.328,0.245,0.207,0.121,0.168,0.097,0.096
OH-507,0.281,0.106,0.24,0.219,0.194,0.185,0.157
OH-508,0.03,0.098,0.127,0.17,0.112,0.087,0.234
OK-500,0.311,0.366,0.303,0.299,0.324,0.086,0.063
OK-501,0.065,0.122,0.039,0.028,0.058,0.053,0.027
OK-502,0.14,0.226,0.158,0.178,0.159,0.14,0.113
OK-503,0,0,0,0.12,0.129,0.138,0
OK-504,0.053,0,0.063,0.152,0.179,0.104,0.156
OK-505,0.161,0.336,0.365,0.448,0.529,0.592,0.286
OK-506,,,,,,,
OK-507,0.385,0.077,0.25,0.167,0.091,0.154,0.333
OR-500,0.156,0.129,0.18,0.135,0.186,0.151,0.186
OR-501,0.187,0.218,0.235,0.26,0.296,0.255,0.226
OR-502,0.163,0.08,0.081,0.103,0.087,0.214,0.19
OR-503,0.238,0.256,0.333,0.291,0.097,0.08,0.089
OR-504,,,,0.174,0.086,0.12,0.036
OR-505,0.162,0.125,0.161,0.223,0.262,0.234,0.239
OR-506,0.125,0.206,0.192,0.231,0.263,0.254,0.09
OR-507,0.153,0.151,0.209,0.293,0.183,0.209,0.066
PA-500,0.137,0.191,0.215,0.267,0.229,0.141,0.136
PA-501,0.159,0.102,0.245,0.143,0.125,0.115,0.135
PA-502,0.032,0.448,0.446,0.231,0.133,0.163,0.192
PA-503,0.25,0.447,0.25,0.338,0.318,0.229,0.233
PA-504,0.196,0.315,0.256,0.267,0.171,0.19,0.129
PA-505,0.324,0.185,0.321,0.239,0.297,0.204,0.156
PA-506,0.168,0.335,0.28,0.326,0.163,0.32,0.194
PA-508,0.279,0.22,0.294,0.319,0.361,0.281,0.154
PA-509,0.287,0.251,0.31,0.317,0.333,0.259,0.241
PA-510,0.13,0.125,0.139,0.1,0.169,0.21,0.118
PA-511,0.316,0.367,0.296,0.303,0.343,0.252,0.28
PA-512,0.083,0.057,0,0.028,0.374,0.282,0.045
PA-600,0.258,0.299,0.245,0.197,0.271,0.151,0.107
PA-601,0.213,0.193,0.273,0.289,0.265,0.27,0.268
PA-603,0.132,0.133,0.096,0.232,0.2,0.163,0.144
PA-605,0.218,0.192,0.146,0.083,0.147,0.316,0.08
PR-502,0.175,0.144,0.134,0.109,0.12,0.112,0.091
PR-503,0.152,0.119,0.215,0.203,0.162,0.185,0.112
RI-500,0.139,0.169,0.142,0.171,0.068,0.094,0.099
SC-500,0.217,0.105,0.214,0.174,0.057,0.081,0.086
SC-501,0.233,0.305,0.15,0.149,0.065,0.074,0.071
SC-502,0.207,0.157,0.204,0.125,0.123,0.126,0.106
SC-503,0.527,0.374,0.27,0.212,0.182,0.153,0.079
SD-500,0.182,0.082,0.154,0.17,0.194,0.151,0.141
TN-500,0.14,0.113,0.104,0.114,0.086,0.068,0.075
TN-501,0.227,0.253,0.266,0.085,0.1,0.087,0.045
TN-502,0.213,0.128,0.187,0.169,0.112,0.217,0.185
TN-503,0.283,0.19,0.081,0.223,0.229,0.042,0.009
TN-504,0.511,0.154,0.356,0.295,0.317,0.197,0.288
TN-506,0.189,0.096,0.222,0.06,0.068,0.088,0.017
TN-507,0.3,0.338,0.3,0.231,0.202,0.239,0.196
TN-509,0.33,0.439,0.167,0.128,0.063,0.111,0.236
TN-510,0.273,0.273,0.25,0,0.039,0.025,0.031
TN-512,0.16,0.172,0.13,0.111,0.25,0.143,0.167
